key	value	source
channel_1_volume	0.252	vcm600_callbacks
channel_2_volume	0.756	vcm600_callbacks
channel_3_volume	0.0	vcm600_callbacks
channel_4_volume	0.0	vcm600_callbacks
channel_5_volume	0.0	vcm600_callbacks
channel_6_volume	0.0	vcm600_callbacks
