device	etype	ch	idx	topic	mode	group	label	page	led_target	enabled	notes
vcm600	cc	10	22	vcm600/channel/10/frequency	abs	channel_controls	Channel 10 Frequency	channel_volume		1	Live corrected frequency for channel 10: idx 23
vcm600	cc	10	23	vcm600/channel/10/level	abs	channel_controls	Channel 10 Level	channel_volume		1	Live corrected level index for channel 10: idx 24
vcm600	note	11	60	vcm600/channel/11/hi_cut		channel_buttons	Channel 11 Hi Cut	channel_switch	vcm600/channel/11/hi_cut	1	Live corrected hi_cut for channel 11: idx 61
vcm600	note	11	61	vcm600/channel/11/mid_cut		channel_buttons	Channel 11 Mid Cut	channel_switch	vcm600/channel/11/mid_cut	1	Live corrected mid_cut for channel 11: idx 62
vcm600	note	11	62	vcm600/channel/11/low_cut		channel_buttons	Channel 11 Low Cut	channel_switch	vcm600/channel/11/low_cut	1	Live corrected low_cut for channel 11: idx 63
vcm600	note	11	63	vcm600/channel/11/mute		channel_buttons	Channel 11 Mute	channel_switch	vcm600/channel/11/mute	1	Live corrected mute for channel 11: idx 64
vcm600	note	11	64	vcm600/channel/11/solo		channel_buttons	Channel 11 Solo	channel_switch	vcm600/channel/11/solo	1	Live corrected solo for channel 11: idx 65
vcm600	note	11	65	vcm600/channel/11/cf_asn		channel_buttons	Channel 11 CF Asn	channel_switch	vcm600/channel/11/cf_asn	1	Live corrected cf_asn for channel 11: idx 66
vcm600	note	11	66	vcm600/channel/11/clip		channel_buttons	Channel 11 Clip	channel_switch	vcm600/channel/11/clip	1	Live corrected clip for channel 11: idx 67
vcm600	note	11	67	vcm600/channel/11/track		channel_buttons	Channel 11 Track	channel_switch	vcm600/channel/11/track	1	Live corrected track for channel 11: idx 68
vcm600	note	11	68	vcm600/channel/11/stop		channel_buttons	Channel 11 Stop	channel_switch	vcm600/channel/11/stop	1	Manual corrected by live test: status 9A idx 45
vcm600	note	11	69	vcm600/channel/11/play		channel_buttons	Channel 11 Play	channel_switch	vcm600/channel/11/play	1	Manual corrected by live test: status 9A idx 46
vcm600	cc	11	16	vcm600/channel/11/eq_hi	abs	channel_controls	Channel 11 EQ Hi	channel_volume		1	Live corrected eq_hi for channel 11: idx 17
vcm600	cc	11	17	vcm600/channel/11/eq_mid	abs	channel_controls	Channel 11 EQ Mid	channel_volume		1	Live corrected eq_mid for channel 11: idx 18
vcm600	cc	11	18	vcm600/channel/11/eq_low	abs	channel_controls	Channel 11 EQ Low	channel_volume		1	Live corrected eq_low for channel 11: idx 19
vcm600	cc	11	10	vcm600/channel/11/pan	abs	channel_controls	Channel 11 Pan	channel_volume		1	Live corrected pan for channel 11: idx 11
vcm600	cc	11	19	vcm600/channel/11/send_a	abs	channel_controls	Channel 11 Send A	channel_volume		1	Live corrected send_a for channel 11: idx 20
vcm600	cc	11	20	vcm600/channel/11/send_b	abs	channel_controls	Channel 11 Send B	channel_volume		1	Live corrected send_b for channel 11: idx 21
vcm600	cc	11	21	vcm600/channel/11/resonance	abs	channel_controls	Channel 11 Resonance	channel_volume		1	Live corrected resonance for channel 11: idx 22
vcm600	cc	11	22	vcm600/channel/11/frequency	abs	channel_controls	Channel 11 Frequency	channel_volume		1	Live corrected frequency for channel 11: idx 23
vcm600	cc	11	23	vcm600/channel/11/level	abs	channel_controls	Channel 11 Level	channel_volume		1	Live corrected level index for channel 11: idx 24
vcm600	note	12	60	vcm600/channel/12/hi_cut		channel_buttons	Channel 12 Hi Cut	channel_switch	vcm600/channel/12/hi_cut	1	Live corrected hi_cut for channel 12: idx 61
vcm600	note	12	61	vcm600/channel/12/mid_cut		channel_buttons	Channel 12 Mid Cut	channel_switch	vcm600/channel/12/mid_cut	1	Live corrected mid_cut for channel 12: idx 62
vcm600	note	12	62	vcm600/channel/12/low_cut		channel_buttons	Channel 12 Low Cut	channel_switch	vcm600/channel/12/low_cut	1	Live corrected low_cut for channel 12: idx 63
vcm600	note	12	63	vcm600/channel/12/mute		channel_buttons	Channel 12 Mute	channel_switch	vcm600/channel/12/mute	1	Live corrected mute for channel 12: idx 64
vcm600	note	12	64	vcm600/channel/12/solo		channel_buttons	Channel 12 Solo	channel_switch	vcm600/channel/12/solo	1	Live corrected solo for channel 12: idx 65
vcm600	note	12	65	vcm600/channel/12/cf_asn		channel_buttons	Channel 12 CF Asn	channel_switch	vcm600/channel/12/cf_asn	1	Live corrected cf_asn for channel 12: idx 66
vcm600	note	12	66	vcm600/channel/12/clip		channel_buttons	Channel 12 Clip	channel_switch	vcm600/channel/12/clip	1	Live corrected clip for channel 12: idx 67
